date,total_pnl,avg_pnl,num_trades,win_rate,fg_score,classification
2024-11-07,4493.353136,39.764187044247784,113,0.5309734513274337,77.0,Extreme Greed
2024-11-08,-64.41354100000007,-1.6516292564102582,39,0.15384615384615385,75.0,Extreme Greed
2024-11-09,102.90894,1.196615581395349,86,0.22093023255813954,75.0,Extreme Greed
2024-11-10,991.114334,5.728984589595376,173,0.2947976878612717,78.0,Extreme Greed
2024-11-11,6749.630996,18.09552545844504,373,0.24664879356568364,76.0,Extreme Greed
2024-11-12,3494.399394,20.435084175438597,171,0.19883040935672514,80.0,Extreme Greed
2024-11-13,7846.402274,163.46671404166668,48,0.5625,84.0,Extreme Greed
2024-11-14,4563.509225,41.4864475,110,0.2545454545454545,88.0,Extreme Greed
2024-11-15,4140.740438,27.790204281879195,149,0.3691275167785235,80.0,Extreme Greed
2024-11-16,2769.521909,17.640266936305732,157,0.3057324840764331,86.0,Extreme Greed
2024-11-17,882.975285,4.224762129186603,209,0.23444976076555024,90.0,Extreme Greed
2024-11-18,4470.815187,12.921431176300578,346,0.3583815028901734,83.0,Extreme Greed
2024-11-19,2958.268991,9.699242593442623,305,0.4918032786885246,90.0,Extreme Greed
2024-11-20,4210.0928969999995,7.654714358181818,550,0.3981818181818182,83.0,Extreme Greed
2024-11-21,1692.430891,3.1634222261682243,535,0.308411214953271,82.0,Extreme Greed
2024-11-22,-18105.345617,-26.664721085419732,679,0.3078055964653903,94.0,Extreme Greed
2024-11-23,2901.531638,7.993200104683195,363,0.3526170798898072,93.0,Extreme Greed
2024-11-24,945.550386,5.497385965116279,172,0.26744186046511625,80.0,Extreme Greed
2024-11-25,5523.740734,21.66172836862745,255,0.4117647058823529,82.0,Extreme Greed
2024-11-26,1094.809359,3.6251965529801327,302,0.2913907284768212,79.0,Extreme Greed
2024-11-27,-2654.495633,-12.462420812206572,213,0.3474178403755869,75.0,Extreme Greed
2024-11-28,-127075.39958499999,-382.75722766566264,332,0.32831325301204817,77.0,Extreme Greed
2024-11-29,176844.994152,449.98726247328244,393,0.48854961832061067,78.0,Extreme Greed
2024-11-30,37316.69352,100.04475474530831,373,0.42091152815013405,84.0,Extreme Greed
2024-12-01,40886.364494,98.28453003365385,416,0.53125,81.0,Extreme Greed
2024-12-02,18489.604313,68.48001597407408,270,0.4074074074074074,80.0,Extreme Greed
2024-12-03,23576.539285,63.03887509358289,374,0.4304812834224599,76.0,Extreme Greed
2024-12-04,292891.815021,918.1561599404388,319,0.46394984326018807,78.0,Extreme Greed
2024-12-05,71574.11848800001,156.96078615789474,456,0.4232456140350877,84.0,Extreme Greed
2024-12-06,-92624.643895,-229.83782604218362,403,0.23325062034739455,72.0,Greed
2024-12-07,85906.279067,282.5864442993421,304,0.4309210526315789,75.0,Extreme Greed
2024-12-08,15965.933436,38.014127228571425,420,0.3619047619047619,79.0,Extreme Greed
2024-12-09,6310.967676,11.708659881261596,539,0.31910946196660483,78.0,Extreme Greed
2024-12-10,39325.770231,24.640206911654136,1596,0.5870927318295739,78.0,Extreme Greed
2024-12-11,319051.554217,261.30348420720725,1221,0.7125307125307125,74.0,Greed
2024-12-12,599151.795008,310.1199767122153,1932,0.6997929606625258,83.0,Extreme Greed
2024-12-13,31935.901745,27.22583268968457,1173,0.40153452685422,76.0,Extreme Greed
2024-12-14,167801.399244,135.87157833522267,1235,0.47368421052631576,83.0,Extreme Greed
2024-12-15,97525.315279,57.4692488385386,1697,0.24572775486152032,80.0,Extreme Greed
2024-12-16,166774.344133,158.07994704549765,1055,0.5071090047393365,83.0,Extreme Greed
2024-12-17,219591.305172,113.13307839876352,1941,0.4363730036063885,87.0,Extreme Greed
2024-12-18,13682.994673,9.575223703988803,1429,0.36599020293911827,81.0,Extreme Greed
2024-12-19,62744.004486000005,18.79125621024259,3339,0.6148547469302186,75.0,Extreme Greed
2024-12-20,254969.660039,102.47976689670418,2488,0.5558681672025724,74.0,Greed
2024-12-21,150022.163157,89.24578415050566,1681,0.5496728138013087,73.0,Greed
2024-12-22,352197.163973,455.03509557235145,774,0.4354005167958656,73.0,Greed
2024-12-23,-29430.626577,-12.53967898466127,2347,0.2901576480613549,70.0,Greed
2024-12-24,14813.780116,43.827751822485205,338,0.33727810650887574,73.0,Greed
2024-12-25,756.6570469999998,3.637774264423076,208,0.30288461538461536,73.0,Greed
2024-12-26,60228.639722,86.41124780774749,697,0.5136298421807748,79.0,Extreme Greed
2024-12-27,2672.811035,10.280042442307693,260,0.4230769230769231,74.0,Greed
2024-12-28,940.673623,5.842693310559007,161,0.22981366459627328,72.0,Greed
2024-12-29,2884.067927,14.348596651741294,201,0.31840796019900497,73.0,Greed
2024-12-30,9009.738137,29.637296503289473,304,0.39473684210526316,65.0,Greed
